,comments,duration,languages,published_date,speaker_occupation,title,views,Positive,Negative,Moderate,related_views,event_class,Humanity/Progress_tag,arts/creativity_tag,philanthropy/religion_tag,music_tag,Global issues_tag,Scientific Fields_tag,media/entertainment_tag,Organizing/Perceiving Information_tag,Middle East_tag,Epidemics_tag,Outer-Space_tag,Vices/Prejudices_tag,exploration_tag,robots/prosthetics_tag,animals/organisms_tag
1288,197,978,25,1342451934,Cancer Researcher,Experiments that point to a new understanding of cancer,990712,1811,50,26,867023,TEDGlobal,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1289,138,730,22,1342537652,Anti-poverty activist,Let's crowdsource the world's goals,509747,316,71,26,1796563,TEDGlobal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1290,89,587,27,1342623575,Neuroeconomist,Sometimes it's good to give up the driver's seat,850833,361,79,47,3837035,TEDx,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1291,140,484,26,1342710018,Technologist,Image recognition that triggers augmented reality,2623011,897,49,51,2610526,TEDGlobal,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
1292,277,575,36,1342796438,Sonochromatic Cyborg Artist,I listen to color,2468887,4213,76,103,997367,TEDGlobal,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
1293,66,734,27,1342878996,Computer programmer,The greatest machine that never was,1184933,704,34,47,1375486,TEDx,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1294,67,848,21,1342969159,Designer,Technology crafts for the digitally underserved,585351,599,15,7,882102,TEDx,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,203,1003,22,1343055617,Navy Admiral,A Navy Admiral's thoughts on global security,721266,606,153,40,907420,TEDGlobal,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1296,227,596,34,1343142603,"Politician, data activist",Your phone company is watching,1619108,1739,104,73,666355,TEDGlobal,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1297,135,861,36,1343230066,Author,Finding the story inside the painting,1191702,770,101,117,1986132,TEDSalon,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1298,404,662,26,1343314919,Femto-photographer,Imaging at a trillion frames per second,4039820,3780,40,21,5552999,TEDGlobal,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1299,131,667,26,1343402236,Computational architect,Building unimaginable shapes,863507,796,81,38,1428088,TEDGlobal,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1300,89,763,29,1343484115,Beekeeper,Every city needs healthy honey bees,687263,724,55,35,1237844,TEDx,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
1301,43,711,0,1343573700,Photojournalist,When a reporter becomes the story,144044,1048,6,8,1091447,TEDx,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
1302,463,1131,29,1343660633,Blogger,Behind the Great Firewall of China,1423930,1532,92,58,1594179,TEDGlobal,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1303,168,839,26,1343746940,Teacher,A teacher growing green in the South Bronx,1112964,1980,16,8,2631040,TEDx,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1304,473,1240,29,1343833364,Educator,What we're learning from online education,2302206,4433,65,65,2253388,TEDGlobal,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1305,64,589,29,1343920031,Photo Retoucher,(Re)touching lives through photos,767285,789,12,16,1291648,TEDGlobal,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1306,117,1010,26,1344006218,Composer,The mad scientist of music,3600582,576,218,41,752964,TEDx,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1307,148,602,0,1344088637,Complexity theorist,Is life really that complex?,353350,807,159,98,1936336,TEDx,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0
1308,203,947,32,1344179026,Peace builder,Fighting with nonviolence,1145261,1356,184,49,1415749,TEDx,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
1309,466,776,35,1344265204,Management thinker,Dare to disagree,3167353,6257,126,206,1923449,TEDGlobal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,231,364,34,1344351883,Applied mathematician,A test for Parkinson's with a phone call,1065331,826,14,28,948287,TEDGlobal,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0
1311,203,801,31,1344524642,"Cofounder, Incredible Edible",How we can eat our landscapes,1206351,2729,32,23,1495782,TEDSalon,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1312,223,582,27,1344610939,Filmmaker and Remixer,Embrace the remix,1356163,1592,56,64,3780610,TEDGlobal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,526,1161,34,1344693645,Photographer,Photos that bear witness to modern slavery,2586606,4236,101,32,1486382,TEDx,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1314,75,424,30,1344784403,Writer,What's a snollygoster? A short lesson in political speak,582161,458,35,49,1239513,TEDx,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1315,170,844,29,1344871207,Public intellectual,Can democracy exist without trust?,640604,886,64,34,779726,TEDGlobal,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1316,82,563,23,1344956665,Disaster relief expert,How to step up in the face of disaster,805880,591,31,47,478348,TEDx,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1317,439,1081,30,1345043885,Writer and filmmaker,Strange answers to the psychopath test,10167161,4197,329,151,1857690,Yearly TED Conference,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1318,91,665,27,1345129241,Designer,"Design for people, not awards",1024653,1073,6,18,1034155,TEDx,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,98,987,25,1345215691,Visual Effects Guru,The art of creating awe,1952381,1685,43,57,1815308,TEDGlobal,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1320,63,749,25,1346858398,Author,The power of the informal economy,754755,639,56,32,1052128,TEDGlobal,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1321,78,732,24,1346944282,Data Intelligence Agent,The rise of human-computer cooperation,856136,628,79,56,1748642,TEDGlobal,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1322,49,956,20,1347030007,Sculptor,"Sculpted space, within and without",464213,208,83,29,715727,TEDGlobal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,109,885,21,1347116997,Scientist and biofuel guru,Energy from floating algae pods,809361,847,53,20,985450,TEDGlobal,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
1324,159,1001,22,1347199628,Architect,Brilliant designs to fit more people in every city,1052980,2643,52,45,1072368,TEDx,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1325,169,1250,27,1347289162,"Forensic psychologist, expert witness",Why eyewitnesses get it wrong,1050633,1064,114,33,2630425,TEDx,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
1326,96,742,28,1347375645,Mental health care advocate,Mental health for all by involving all,933277,649,18,18,3100825,TEDGlobal,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1327,455,865,27,1347462247,Journalist,The voices of China's workers,1362071,1305,183,44,1301243,TEDGlobal,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1328,96,898,23,1347549376,Stem cell research advocate,The promise of research with stem cells,832831,629,59,31,1135735,TEDGlobal,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1329,82,918,22,1347634731,Dancer and Choreographer,A choreographer's creative process in real time,891589,545,123,30,828780,TEDGlobal,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1330,78,1043,21,1347722978,Open-government expert,Demand a more open-source government,516355,491,56,22,748719,TEDGlobal,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1331,211,855,27,1347803828,Author and Activist,The global food waste scandal,1471114,1849,31,32,1344179,TEDSalon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1332,165,866,32,1347894086,Cognitive Neuroscientist,The mysterious workings of the adolescent brain,2246203,2058,128,118,1925567,TEDGlobal,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1333,128,591,34,1347980455,Sound consultant,Why architects need to use their ears,1225395,1180,14,35,2120386,TEDGlobal,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1334,94,719,28,1348067318,Network author,Discover the physical side of the internet,1337967,960,93,114,1511255,TEDGlobal,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1335,91,561,28,1348152984,Social Justice Activist,Demand a fair trade cell phone,587181,588,50,15,855013,TEDx,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1336,81,741,26,1348236909,"Designer, Storyteller",A story about knots and surgeons,924318,1320,20,28,911049,Other,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1337,169,1186,23,1348328337,Trust researcher,The currency of the new economy is trust,1239316,1612,80,57,1337788,TEDGlobal,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1338,260,847,26,1348413016,Management theorist,Are droids taking our jobs?,956324,1017,104,42,1714472,TEDx,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
1339,45,803,27,1348498974,Behavioral Neuroscientist,"What we're learning from 5,000 brains",693628,359,213,53,1968275,TEDGlobal,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0
1340,202,1112,24,1348584705,Social Media Theorist,How the Internet will (one day) transform government,1245095,1631,33,21,1435892,TEDGlobal,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1341,180,528,0,1348671709,Producer,An animated tour of the invisible,336430,2127,66,69,1293105,Other,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0
1342,380,809,34,1348758104,Debunker,What doctors don't know about the drugs they prescribe,2228138,3276,42,46,1369946,Other,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
1343,87,356,36,1348845792,Artist and historian,A thousand times no,1024326,911,17,17,879991,TEDGlobal,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1344,40,996,26,1348927347,Mapmaker,Making sense of maps,661530,438,64,55,1334054,TEDx,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1345,122,876,27,1349013658,Environmental policy influencer,Let's prepare for our new climate,1030762,684,108,53,956479,TEDGlobal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1346,2290,1262,51,1349103608,Social psychologist,Your body language may shape who you are,43155405,63814,1025,1129,8448345,TEDGlobal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1347,125,987,29,1349190050,Violinist,Between music and medicine,1038897,907,37,27,1595705,Other,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1348,179,1142,22,1349276476,Lawyer,Terrorism is a failed brand,788255,488,229,38,1003363,TEDGlobal,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1349,94,985,27,1349362847,"Computer Scientist, Educator",The self-organizing computer course,983172,1175,31,31,1252094,TEDGlobal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1350,31,996,25,1349449203,Museum director,Weaving narratives in museum galleries,625454,373,69,23,933417,Yearly TED Conference,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
